"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","13 Sep 2019","15456.3","15637.2","15342.35","15621.05"
"NIFTY PRIVATE BANK","12 Sep 2019","15517.65","15631.75","15430.4","15465.20"
"NIFTY PRIVATE BANK","11 Sep 2019","15389.15","15497.4","15337.05","15463.70"
"NIFTY PRIVATE BANK","09 Sep 2019","15156.25","15336.55","15020.35","15309.00"
"NIFTY PRIVATE BANK","06 Sep 2019","14991.75","15190.35","14964.3","15161.10"
"NIFTY PRIVATE BANK","05 Sep 2019","15044.9","15140.25","14894.5","14950.55"
"NIFTY PRIVATE BANK","04 Sep 2019","14914.85","15153.85","14811.7","15063.50"
"NIFTY PRIVATE BANK","03 Sep 2019","15197.05","15212.05","14903.55","14950.95"
"NIFTY PRIVATE BANK","30 Aug 2019","15251.85","15353","15089.5","15309.20"
"NIFTY PRIVATE BANK","29 Aug 2019","15372.35","15391.05","15128.8","15191.00"
"NIFTY PRIVATE BANK","28 Aug 2019","15622","15631.85","15334.55","15434.00"
"NIFTY PRIVATE BANK","27 Aug 2019","15654.45","15760.1","15563.35","15654.75"
"NIFTY PRIVATE BANK","26 Aug 2019","15366.85","15594.95","14934.2","15571.90"
"NIFTY PRIVATE BANK","23 Aug 2019","14981.4","15164.85","14826.4","15023.55"
"NIFTY PRIVATE BANK","22 Aug 2019","15455.7","15458.4","15061","15088.25"
"NIFTY PRIVATE BANK","21 Aug 2019","15654.65","15691.3","15440.55","15475.40"
"NIFTY PRIVATE BANK","20 Aug 2019","15765.65","15787.05","15557.75","15638.45"
"NIFTY PRIVATE BANK","19 Aug 2019","15824.25","15934.75","15743.7","15777.25"
"NIFTY PRIVATE BANK","16 Aug 2019","15561.45","15782.7","15451.8","15760.55"
"NIFTY PRIVATE BANK","14 Aug 2019","15536.45","15669.4","15453.6","15612.60"
"NIFTY PRIVATE BANK","13 Aug 2019","15820.9","15823.1","15422.15","15447.65"
"NIFTY PRIVATE BANK","09 Aug 2019","15774.4","15954.55","15746.3","15852.75"
"NIFTY PRIVATE BANK","08 Aug 2019","15545.2","15729.65","15328","15660.35"
"NIFTY PRIVATE BANK","07 Aug 2019","15601.15","15714.5","15427.05","15462.50"
"NIFTY PRIVATE BANK","06 Aug 2019","15275.4","15651.95","15258.45","15586.25"
"NIFTY PRIVATE BANK","05 Aug 2019","15466.6","15481.55","15213.95","15342.70"
"NIFTY PRIVATE BANK","02 Aug 2019","15610.15","15797.35","15441.25","15636.40"
"NIFTY PRIVATE BANK","01 Aug 2019","15785.5","15903.6","15514","15687.40"
"NIFTY PRIVATE BANK","31 Jul 2019","15724.65","15969.35","15686.1","15917.05"
"NIFTY PRIVATE BANK","30 Jul 2019","16232","16285.45","15819.55","15852.90"
"NIFTY PRIVATE BANK","29 Jul 2019","16311.35","16319.05","16060.1","16151.30"
"NIFTY PRIVATE BANK","26 Jul 2019","15982.15","16192.15","15937.45","16161.35"
"NIFTY PRIVATE BANK","25 Jul 2019","15904.75","16067.35","15880.95","15963.10"
"NIFTY PRIVATE BANK","24 Jul 2019","16012.9","16106.35","15855.6","15899.80"
"NIFTY PRIVATE BANK","23 Jul 2019","16097.75","16149.9","15973.8","16037.10"
"NIFTY PRIVATE BANK","22 Jul 2019","16213.75","16221.95","16003.55","16061.95"
"NIFTY PRIVATE BANK","19 Jul 2019","16754.6","16771.4","16260.6","16298.35"
"NIFTY PRIVATE BANK","18 Jul 2019","16852.35","16888.75","16678.9","16707.85"
"NIFTY PRIVATE BANK","17 Jul 2019","16902.4","16968.2","16837.25","16891.00"
"NIFTY PRIVATE BANK","16 Jul 2019","16872","16892.25","16788.5","16868.25"
"NIFTY PRIVATE BANK","15 Jul 2019","16980.7","16983.2","16763.15","16811.25"
"NIFTY PRIVATE BANK","12 Jul 2019","17039.3","17079.2","16887.05","16913.20"
"NIFTY PRIVATE BANK","11 Jul 2019","16997.65","17047.2","16910.9","16990.15"
"NIFTY PRIVATE BANK","10 Jul 2019","16930.1","17009.25","16865.65","16902.75"
"NIFTY PRIVATE BANK","09 Jul 2019","16899.75","16976.6","16776.6","16902.55"
"NIFTY PRIVATE BANK","08 Jul 2019","17282.8","17293.7","16892.45","16926.30"
"NIFTY PRIVATE BANK","05 Jul 2019","17396.05","17453.6","17287.95","17353.50"
"NIFTY PRIVATE BANK","04 Jul 2019","17379","17468.05","17351.45","17377.30"
"NIFTY PRIVATE BANK","03 Jul 2019","17299.3","17386.35","17242.9","17330.90"
"NIFTY PRIVATE BANK","02 Jul 2019","17386.45","17393.95","17189.1","17259.50"
"NIFTY PRIVATE BANK","01 Jul 2019","17294.1","17410.95","17290.4","17358.90"
"NIFTY PRIVATE BANK","28 Jun 2019","17324.55","17340.3","17163.1","17197.00"
"NIFTY PRIVATE BANK","27 Jun 2019","17272.45","17441.4","17252.85","17314.35"
"NIFTY PRIVATE BANK","26 Jun 2019","17065.35","17279.7","17040.9","17253.40"
"NIFTY PRIVATE BANK","25 Jun 2019","16929.2","17125.55","16862.7","17084.30"
